x-axis,1,2,3
second,Volt,Volt,Volt
-29.400E-03,+1.725000E+00,+2.312500E+00,+2.193250E+00
-29.300E-03,+1.443750E+00,+2.062500E+00,+1.912000E+00
-29.200E-03,+1.193750E+00,+1.812500E+00,+1.568250E+00
-29.100E-03,+943.750E-03,+1.500000E+00,+1.318250E+00
-29.000E-03,+818.750E-03,+1.156250E+00,+974.500E-03
-28.900E-03,+631.250E-03,+843.750E-03,+693.250E-03
-28.800E-03,+475.000E-03,+625.000E-03,+505.750E-03
-28.700E-03,+506.250E-03,+406.250E-03,+380.750E-03
-28.600E-03,+537.500E-03,+312.500E-03,+287.000E-03
-28.500E-03,+725.000E-03,+281.250E-03,+349.500E-03
-28.400E-03,+881.250E-03,+375.000E-03,+505.750E-03
-28.300E-03,+1.131250E+00,+531.250E-03,+724.500E-03
-28.200E-03,+1.412500E+00,+781.250E-03,+974.500E-03
-28.100E-03,+1.662500E+00,+1.062500E+00,+1.318250E+00
-28.000E-03,+1.912500E+00,+1.375000E+00,+1.662000E+00
-27.900E-03,+2.100000E+00,+1.750000E+00,+1.974500E+00
-27.800E-03,+2.225000E+00,+2.062500E+00,+2.287000E+00
-27.700E-03,+2.318750E+00,+2.312500E+00,+2.474500E+00
-27.600E-03,+2.350000E+00,+2.531250E+00,+2.599500E+00
-27.500E-03,+2.225000E+00,+2.593750E+00,+2.662000E+00
-27.400E-03,+2.068750E+00,+2.562500E+00,+2.568250E+00
-27.300E-03,+1.850000E+00,+2.500000E+00,+2.380750E+00
-27.200E-03,+1.568750E+00,+2.281250E+00,+2.130750E+00
-27.100E-03,+1.318750E+00,+2.000000E+00,+1.818250E+00
-27.000E-03,+1.006250E+00,+1.687500E+00,+1.474500E+00
-26.900E-03,+850.000E-03,+1.312500E+00,+1.099500E+00
-26.800E-03,+600.000E-03,+968.750E-03,+787.000E-03
-26.700E-03,+506.250E-03,+656.250E-03,+505.750E-03
-26.600E-03,+506.250E-03,+437.500E-03,+349.500E-03
-26.500E-03,+537.500E-03,+281.250E-03,+255.750E-03
-26.400E-03,+693.750E-03,+250.000E-03,+287.000E-03
-26.300E-03,+912.500E-03,+343.750E-03,+443.250E-03
-26.200E-03,+1.162500E+00,+500.000E-03,+724.500E-03
-26.100E-03,+1.443750E+00,+781.250E-03,+1.005750E+00
-26.000E-03,+1.756250E+00,+1.093750E+00,+1.349500E+00
-25.900E-03,+1.975000E+00,+1.437500E+00,+1.724500E+00
-25.800E-03,+2.162500E+00,+1.875000E+00,+2.099500E+00
-25.700E-03,+2.287500E+00,+2.125000E+00,+2.349500E+00
-25.600E-03,+2.318750E+00,+2.406250E+00,+2.599500E+00
-25.500E-03,+2.225000E+00,+2.562500E+00,+2.693250E+00
-25.400E-03,+2.100000E+00,+2.625000E+00,+2.630750E+00
-25.300E-03,+1.912500E+00,+2.531250E+00,+2.505750E+00
-25.200E-03,+1.662500E+00,+2.375000E+00,+2.224500E+00
-25.100E-03,+1.318750E+00,+2.093750E+00,+1.912000E+00
-25.000E-03,+1.068750E+00,+1.750000E+00,+1.505750E+00
-24.900E-03,+818.750E-03,+1.375000E+00,+1.162000E+00
-24.800E-03,+631.250E-03,+968.750E-03,+755.750E-03
-24.700E-03,+506.250E-03,+625.000E-03,+443.250E-03
-24.600E-03,+506.250E-03,+375.000E-03,+318.250E-03
-24.500E-03,+600.000E-03,+281.250E-03,+193.250E-03
-24.400E-03,+725.000E-03,+218.750E-03,+255.750E-03
-24.300E-03,+1.037500E+00,+343.750E-03,+474.500E-03
-24.200E-03,+1.318750E+00,+562.500E-03,+787.000E-03
-24.100E-03,+1.631250E+00,+875.000E-03,+1.130750E+00
-24.000E-03,+1.912500E+00,+1.281250E+00,+1.537000E+00
-23.900E-03,+2.162500E+00,+1.687500E+00,+2.005750E+00
-23.800E-03,+2.256250E+00,+2.062500E+00,+2.318250E+00
-23.700E-03,+2.350000E+00,+2.375000E+00,+2.568250E+00
-23.600E-03,+2.256250E+00,+2.593750E+00,+2.693250E+00
-23.500E-03,+2.131250E+00,+2.687500E+00,+2.724500E+00
-23.400E-03,+1.943750E+00,+2.593750E+00,+2.568250E+00
-23.300E-03,+1.600000E+00,+2.437500E+00,+2.318250E+00
-23.200E-03,+1.287500E+00,+2.125000E+00,+1.912000E+00
-23.100E-03,+975.000E-03,+1.750000E+00,+1.505750E+00
